size,iterations,nruns,time-mean,time-error,update_time-mean,update_time-error,compute_time-mean,compute_time-error
20,1000,2,0.2219735,0.011650998433610739,0.0467085,0.0022874904371384826,0.157556,0.01234891282664185
30,1000,2,0.217511,0.0011667261889578122,0.049728499999999995,0.000888833223951491,0.15102700000000002,0.0017536248173426448
40,1000,2,0.2127035,0.007521494831481292,0.041897500000000004,0.0014700749980868354,0.153327,0.0061659711319466985
50,1000,4,0.23911475,0.017903793070340037,0.050405750000000006,0.0023638876348083897,0.1718485,0.015583901711559775
60,1000,3,0.215946,0.0039243005109191095,0.044596000000000004,0.002622398425106299,0.15429033333333333,0.0021796386550680044
70,1000,3,0.226993,0.0030857469112031905,0.052126,0.003200239678524094,0.15799266666666667,0.000938035802443951
80,1000,3,0.25556066666666666,0.011469420241087457,0.055987666666666665,0.0011883722761267467,0.18270966666666666,0.01201467673999874
90,1000,2,0.2400385,0.004951868788649399,0.057731000000000005,0.00011596551211459692,0.164907,0.004290723948239983
100,1000,2,0.247952,0.004946919041181088,0.0603995,0.004012830983233657,0.1704925,0.008625995623694684
110,1000,2,0.2525425,0.0032236998154294557,0.069441,0.003043387586226902,0.1662185,0.00015344217151747728
120,1000,3,0.2777753333333333,0.017197652184721805,0.07322833333333334,0.002581340962884732,0.18698433333333334,0.014695468524911572
130,1000,2,0.27159,0.015925458925883453,0.08383499999999999,0.00166170093578839,0.16998950000000002,0.016804392654898307
140,1000,2,0.282076,0.007341182602278738,0.088367,0.00559604306631034,0.1765965,0.0018646405819889261
150,1000,2,0.30087699999999995,0.0014976521625531137,0.101787,0.002193445235240666,0.181952,0.0007452905473706206
160,1000,2,0.315471,0.0005147737367037719,0.1082165,0.00459972961161849,0.189535,0.004630135203209512
170,1000,2,0.323745,0.005398053167578125,0.1176085,0.002496794044369694,0.1883915,0.003704532426636318
180,1000,2,0.33781550000000005,0.0010769236277471095,0.12414800000000001,0.001216223663640871,0.19630799999999998,0.002689834195633628
190,1000,2,0.3646165,0.0046110433201174755,0.1356255,0.000635688996286714,0.2113665,0.004178293970031327
200,1000,2,0.374685,0.0007184204896855443,0.139068,0.0012289515857022318,0.217858,0.00048224682476923666
210,1000,2,0.3970205,0.012198299082249143,0.15795900000000002,0.002916108365613314,0.22195399999999998,0.00924329984367055
220,1000,2,0.4185935,0.00620203357778719,0.16796250000000001,0.007245723186818537,0.2334445,0.001157533800802378
230,1000,2,0.436434,0.003846660889654819,0.1776695,0.002769737261907709,0.24158000000000002,0.0009927779207859048
240,1000,2,0.4666125,0.012937932775370265,0.188493,0.0005798275605729601,0.26099,0.013521295869849142
250,1000,2,0.493995,0.0037377664453520994,0.21504250000000003,0.003061065255756564,0.2614195,0.000591848375853163
260,1000,2,0.5337514999999999,0.024965819123353494,0.224329,0.002544170198709191,0.292107,0.027704443686888926
270,1000,2,0.5596645,0.004664783435487629,0.2443615,0.0019848487347906415,0.29786749999999995,0.0029719698013270677
280,1000,2,0.6265355,0.03382303866449614,0.271043,0.0021976878759277893,0.3384265,0.031684747758188
290,1000,2,0.655153,0.026939354149645062,0.287124,0.0039470700525832915,0.35026250000000003,0.023643529442534585
300,1000,2,0.6593255,0.010525284437961786,0.3069945,0.004155666553033355,0.334889,0.00596373859252734
310,1000,2,0.714609,0.005191577987471682,0.3371285,0.003707360853761067,0.3601985,0.0015266435405817324
320,1000,2,0.7690945,0.016283962063944977,0.3545115,0.0016114963543241245,0.3973395,0.01470711394189901
330,1000,2,0.8123549999999999,0.0005501290757631738,0.401166,0.0012360226535141044,0.394,0.0006802367235014717
340,1000,2,0.8843325,0.036365794649643,0.425369,0.000608111831820411,0.44169800000000004,0.03708916488679679
350,1000,2,0.947031,0.004914392129246514,0.4789005,0.004990052554833452,0.451041,2.26274169979529e-05
360,1000,2,1.027431,0.00357937452636639,0.5292515,0.002218193972582161,0.480904,0.0013816866504385219
370,1000,2,1.107629,0.03147473704417568,0.5595905,0.003949191372926834,0.530571,0.02731553495723629
380,1000,2,1.1742895,0.010986318059295484,0.5898795,0.0024557818510609216,0.567035,0.013200269391190483
390,1000,2,1.270029,0.013396845076360263,0.641959,0.004162030514063981,0.6105594999999999,0.017244213072796367
400,1000,2,1.335885,0.00013717871555020964,0.6800155,0.00015344217151741838,0.6382995,5.020458146419695e-05
